ranking,vElf #,background,skin,eyes,mouth,clothes,hair,headwear,Rarity
1,70,Light Purple,Yellow,Blue Dewy Eyes,Red Plump Lips,Golden Eagle Top,Black Loose Waves,Star Tiara,SPECIAL
2,21,Light Green,Yellow,Grey Dewy Eyes,Red Thin Lips,Green Elven Dress,Black Loose Curls,Butterfly Circlet,SPECIAL
3,7,Light Brown,Yellow,Blue Dewy Eyes,Plum Thin Lips,White Dress,Blonde Wavy,Golden Circlet,SPECIAL
4,98,Light Turquoise,Yellow,Green Sleepy Eyes,Plum Thin Lips,White Top,White Short Tiedback,No Headwear,SPECIAL
5,207,Light Green,Yellow,Grey Dewy Eyes,Small Smile,Pink Tank Top,Red Ponytail,No Headwear,SPECIAL
6,777,Light Red,Yellow,Blue Dewy Eyes,Kissy Lips,Daddy's Monster Top,Bicolour White Pigtails,No Headwear,SPECIAL
7,14,Greyish Blue,Yellow,Blue Sleepy Eyes,Red Thin Lips,Black with Chains,Layered Green Roots,No Headwear,SPECIAL
8,2933,Light Purple,Brown,Heart Eyes,Slightly Open,White Offshoulder,Black Straight,Flower Crown,LEGENDARY
9,6546,Light Purple,Blue,Fiery Eyes,Big Grin,White Offshoulder,Red Wavy,Diadem,LEGENDARY
10,3207,Aftermath,Yellow,Heart Eyes,Shocked,White Offshoulder,Black White Straight,Flower Crown,LEGENDARY
11,2963,Purple Clouds,Brown,Blue Dewy Eyes,Kissy Lips,White Offshoulder,Pink Short Tiedback,Cat Ears,LEGENDARY
12,2879,Light Turquoise,Peach,Deal With It,Pink Plump Lips,White Offshoulder,Blonde Spacebuns,Devil Horns,EPIC
13,6985,Aftermath,Brown,Blue Angry Eyes,Black Mask,White Offshoulder,Layered Purple,Diadem,EPIC
14,2923,VeSea,Brown,Deal With It,Small Smile,White Offshoulder,Black Straight Bob,VeChain Tiara,EPIC
15,4604,Graveyard,Brown,Eye Patch,Pink Plump Lips,White Offshoulder,Blonde Spacebuns,Devil Horns,EPIC
16,7109,VeSea,Brown,Blue Sleepy Eyes,Slightly Open,White Offshoulder,Black White Straight,Diadem,EPIC
17,3327,Light Red,Brown,Deal With It,Shocked,White Offshoulder,White Braid,Devil Horns,EPIC
18,4719,Purple Clouds,Brown,Pink Eyes,Pink Plump Lips,White Offshoulder,Brown Wavy,Elven Crown,EPIC
19,4367,VeSea,Blue,Green Angry Eyes,Pink Thin Lips,White Offshoulder,Blonde Spacebuns,Diadem,EPIC
20,3305,Purple Clouds,Yellow,Green Angry Eyes,Pink Thin Lips,White Offshoulder,White Braid,VeChain Tiara,EPIC
21,5474,Aftermath,Yellow,Bug Eyes,Gritting Teeth,White Offshoulder,Red Straight,Diadem,EPIC
22,7271,Forest,Peach,Deal With It,Pink Thin Lips,White Offshoulder,White Pullback,Devil Horns,EPIC
23,2347,Light Red,Peach,Scarred Eyes,Shocked,White Offshoulder,Black White Straight,VeChain Tiara,EPIC
24,3346,Blue Clouds,Blue,VeChain Visor,Shocked,White Offshoulder,Black Pullback,Leaf Crown,EPIC
25,1991,Light Brown,Green,Blue Angry Eyes,Shocked,White Offshoulder,Black Pullback,Leaf Crown,EPIC
26,1084,Light Blue,Green,Heart Eyes,Pink Plump Lips,White Offshoulder,Red Straight,Bunny Ears,EPIC
27,4083,Purple Clouds,Green,Green Angry Eyes,Upset,White Offshoulder,Blue Wavy Bob,Bunny Ears,EPIC
28,5043,VeSea,Peach,Blue Sleepy Eyes,Gritting Teeth,White Offshoulder,Red Wavy,Butterfly,EPIC
29,1810,Light Red,Green,Purple Eyes,Stuck Out Tongue,White Offshoulder,Red Wavy,Leaf Crown,EPIC
30,7703,Light Purple,Brown,Diamond Eyes,Kissy Lips,White Offshoulder,Pixie Cut,Butterfly,EPIC
31,5462,Light Red,Green,Scarred Eyes,Pink Thin Lips,White Offshoulder,Pixie Cut,Bunny Ears,EPIC
32,2845,Light Blue,Brown,3D Glasses,Pink Thin Lips,White Offshoulder,Brown Wavy,Butterfly,EPIC
33,3135,Light Green,Blue,Bug Eyes,Upset,White Offshoulder,White Pullback,Leaf Crown,EPIC
34,194,Light Orange,Brown,Blue Dewy Eyes,Stuck Out Tongue,White Offshoulder,Brown Spacebuns,Butterfly,EPIC
35,2121,Light Green,Peach,Eye Patch,Gritting Teeth,White Offshoulder,Brown Spacebuns,Butterfly,EPIC
36,4701,Light Blue,Peach,Icy Eyes,Black Mask,White Offshoulder,Black White Straight,Butterfly,EPIC
37,5964,VeSea,Peach,Crying Eyes,Big Grin,Red Dress,Brown Straight Bob,Silver Circlet,EPIC
38,5373,VeSea,Brown,3D Glasses,Confused,Red Dress,Brown Spacebuns,Silver Circlet,EPIC
39,4965,VeSea,Yellow,Fiery Eyes,Kissy Lips,Black Plunge Dress,Red Wavy,Silver Circlet,EPIC
40,2572,Purple Clouds,Brown,Diamond Eyes,Black Mask,Blue Halterneck,Black Straight,Silver Circlet,EPIC
41,2779,Greyish Blue,Peach,3D Glasses,Gritting Teeth,Red Asymmetric Dress,Black Pullback,Silver Circlet,RARE
42,2593,Light Yellow,Brown,Grey Dewy Eyes,Big Grin,Red Asymmetric Dress,Black Straight Bob,Silver Circlet,RARE
43,3219,Rainbow,Peach,VeChain Visor,Big Grin,Black Cape,Pixie Cut,Silver Circlet,RARE
44,1584,Light Red,Peach,Pink Eyes,Confused,Red Dress,Pixie Cut,Silver Circlet,RARE
45,286,Light Orange,Yellow,3D Glasses,Shocked,Checkered Brassiere,Red Straight,Silver Circlet,RARE
46,2065,Light Purple,Blue,Fiery Eyes,Gritting Teeth,Checkered Brassiere,White Pullback,Silver Circlet,RARE
47,7545,Purple Clouds,Blue,Grey Dewy Eyes,Pink Plump Lips,Black Plunge Dress,Brown Wavy,Silver Circlet,RARE
48,2373,Light Turquoise,Peach,Crying Eyes,Shocked,Green Brassiere,White Braid,Silver Circlet,RARE
49,6984,Blue Clouds,Brown,Fiery Eyes,Gritting Teeth,Red Asymmetric Dress,Red Pullback,Flower Crown,RARE
50,2210,Light Pink,Green,Fiery Eyes,Gritting Teeth,Black Cape,Pink Short Tiedback,Silver Circlet,RARE
51,546,Light Orange,Blue,Diamond Eyes,Upset,Blue Halterneck,Black White Straight,Silver Circlet,RARE
