ranking,vElf #,background,skin,eyes,mouth,clothes,hair,headwear,Rarity
0,70,Light Purple,Yellow,Blue Dewy Eyes,Red Plump Lips,Golden Eagle Top,Black Loose Waves,Star Tiara,SPECIAL
1,21,Light Green,Yellow,Grey Dewy Eyes,Red Thin Lips,Green Elven Dress,Black Loose Curls,Butterfly Circlet,SPECIAL
2,7,Light Brown,Yellow,Blue Dewy Eyes,Plum Thin Lips,White Dress,Blonde Wavy,Golden Circlet,SPECIAL
3,98,Light Turquoise,Yellow,Green Sleepy Eyes,Plum Thin Lips,White Top,White Short Tiedback,No Headwear,SPECIAL
4,207,Light Green,Yellow,Grey Dewy Eyes,Small Smile,Pink Tank Top,Red Ponytail,No Headwear,SPECIAL
5,777,Light Red,Yellow,Blue Dewy Eyes,Kissy Lips,Daddy's Monster Top,Bicolour White Pigtails,No Headwear,SPECIAL
6,14,Greyish Blue,Yellow,Blue Sleepy Eyes,Red Thin Lips,Black with Chains,Layered Green Roots,No Headwear,SPECIAL
7,2933,Light Purple,Brown,Heart Eyes,Slightly Open,White Offshoulder,Black Straight,Flower Crown,LEGENDARY
8,6546,Light Purple,Blue,Fiery Eyes,Big Grin,White Offshoulder,Red Wavy,Diadem,LEGENDARY
9,3207,Aftermath,Yellow,Heart Eyes,Shocked,White Offshoulder,Black White Straight,Flower Crown,LEGENDARY
10,2963,Purple Clouds,Brown,Blue Dewy Eyes,Kissy Lips,White Offshoulder,Pink Short Tiedback,Cat Ears,LEGENDARY
11,2879,Light Turquoise,Peach,Deal With It,Pink Plump Lips,White Offshoulder,Blonde Spacebuns,Devil Horns,EPIC
12,6985,Aftermath,Brown,Blue Angry Eyes,Black Mask,White Offshoulder,Layered Purple,Diadem,EPIC
13,2923,VeSea,Brown,Deal With It,Small Smile,White Offshoulder,Black Straight Bob,VeChain Tiara,EPIC
14,4604,Graveyard,Brown,Eye Patch,Pink Plump Lips,White Offshoulder,Blonde Spacebuns,Devil Horns,EPIC
15,7109,VeSea,Brown,Blue Sleepy Eyes,Slightly Open,White Offshoulder,Black White Straight,Diadem,EPIC
16,3327,Light Red,Brown,Deal With It,Shocked,White Offshoulder,White Braid,Devil Horns,EPIC
17,4719,Purple Clouds,Brown,Pink Eyes,Pink Plump Lips,White Offshoulder,Brown Wavy,Elven Crown,EPIC
18,4367,VeSea,Blue,Green Angry Eyes,Pink Thin Lips,White Offshoulder,Blonde Spacebuns,Diadem,EPIC
19,3305,Purple Clouds,Yellow,Green Angry Eyes,Pink Thin Lips,White Offshoulder,White Braid,VeChain Tiara,EPIC
20,5474,Aftermath,Yellow,Bug Eyes,Gritting Teeth,White Offshoulder,Red Straight,Diadem,EPIC
21,7271,Forest,Peach,Deal With It,Pink Thin Lips,White Offshoulder,White Pullback,Devil Horns,EPIC
22,2347,Light Red,Peach,Scarred Eyes,Shocked,White Offshoulder,Black White Straight,VeChain Tiara,EPIC
23,3346,Blue Clouds,Blue,VeChain Visor,Shocked,White Offshoulder,Black Pullback,Leaf Crown,EPIC
24,1991,Light Brown,Green,Blue Angry Eyes,Shocked,White Offshoulder,Black Pullback,Leaf Crown,EPIC
25,1084,Light Blue,Green,Heart Eyes,Pink Plump Lips,White Offshoulder,Red Straight,Bunny Ears,EPIC
26,4083,Purple Clouds,Green,Green Angry Eyes,Upset,White Offshoulder,Blue Wavy Bob,Bunny Ears,EPIC
27,5043,VeSea,Peach,Blue Sleepy Eyes,Gritting Teeth,White Offshoulder,Red Wavy,Butterfly,EPIC
28,1810,Light Red,Green,Purple Eyes,Stuck Out Tongue,White Offshoulder,Red Wavy,Leaf Crown,EPIC
29,7703,Light Purple,Brown,Diamond Eyes,Kissy Lips,White Offshoulder,Pixie Cut,Butterfly,EPIC
30,5462,Light Red,Green,Scarred Eyes,Pink Thin Lips,White Offshoulder,Pixie Cut,Bunny Ears,EPIC
31,2845,Light Blue,Brown,3D Glasses,Pink Thin Lips,White Offshoulder,Brown Wavy,Butterfly,EPIC
32,3135,Light Green,Blue,Bug Eyes,Upset,White Offshoulder,White Pullback,Leaf Crown,EPIC
33,194,Light Orange,Brown,Blue Dewy Eyes,Stuck Out Tongue,White Offshoulder,Brown Spacebuns,Butterfly,EPIC
34,2121,Light Green,Peach,Eye Patch,Gritting Teeth,White Offshoulder,Brown Spacebuns,Butterfly,EPIC
35,4701,Light Blue,Peach,Icy Eyes,Black Mask,White Offshoulder,Black White Straight,Butterfly,EPIC
36,5964,VeSea,Peach,Crying Eyes,Big Grin,Red Dress,Brown Straight Bob,Silver Circlet,EPIC
37,5373,VeSea,Brown,3D Glasses,Confused,Red Dress,Brown Spacebuns,Silver Circlet,EPIC
38,4965,VeSea,Yellow,Fiery Eyes,Kissy Lips,Black Plunge Dress,Red Wavy,Silver Circlet,EPIC
39,2572,Purple Clouds,Brown,Diamond Eyes,Black Mask,Blue Halterneck,Black Straight,Silver Circlet,EPIC
40,2779,Greyish Blue,Peach,3D Glasses,Gritting Teeth,Red Asymmetric Dress,Black Pullback,Silver Circlet,RARE
41,2593,Light Yellow,Brown,Grey Dewy Eyes,Big Grin,Red Asymmetric Dress,Black Straight Bob,Silver Circlet,RARE
42,3219,Rainbow,Peach,VeChain Visor,Big Grin,Black Cape,Pixie Cut,Silver Circlet,RARE
43,1584,Light Red,Peach,Pink Eyes,Confused,Red Dress,Pixie Cut,Silver Circlet,RARE
44,286,Light Orange,Yellow,3D Glasses,Shocked,Checkered Brassiere,Red Straight,Silver Circlet,RARE
45,2065,Light Purple,Blue,Fiery Eyes,Gritting Teeth,Checkered Brassiere,White Pullback,Silver Circlet,RARE
46,7545,Purple Clouds,Blue,Grey Dewy Eyes,Pink Plump Lips,Black Plunge Dress,Brown Wavy,Silver Circlet,RARE
47,2373,Light Turquoise,Peach,Crying Eyes,Shocked,Green Brassiere,White Braid,Silver Circlet,RARE
48,6984,Blue Clouds,Brown,Fiery Eyes,Gritting Teeth,Red Asymmetric Dress,Red Pullback,Flower Crown,RARE
49,2210,Light Pink,Green,Fiery Eyes,Gritting Teeth,Black Cape,Pink Short Tiedback,Silver Circlet,RARE
50,546,Light Orange,Blue,Diamond Eyes,Upset,Blue Halterneck,Black White Straight,Silver Circlet,RARE
51,6272,Light Yellow,Green,VeChain Visor,Confused,Red Asymmetric Dress,White Pullback,Silver Circlet,RARE
52,3375,Light Turquoise,Brown,Diamond Eyes,Slightly Open,Red Dress,Brown Spacebuns,Silver Circlet,RARE
53,1258,Light Brown,Blue,Green Slanted Eyes,Pink Plump Lips,Green Brassiere,Red Pullback,Silver Circlet,RARE
54,10,VeSea,Brown,Blue Angry Eyes,Gritting Teeth,Red Cami,Brown Wavy,Silver Circlet,RARE
55,6988,Light Yellow,Yellow,Deal With It,Big Grin,Battle Armor,Red Wavy,Silver Circlet,RARE
56,1301,Light Brown,Yellow,Eye Patch,Gritting Teeth,Black Cape,Red Pullback,Silver Circlet,RARE
57,4003,Rainbow,Green,Heart Eyes,Shocked,Black Plunge Dress,Black Wavy,Silver Circlet,RARE
58,4514,Rainbow,Peach,Blue Sleepy Eyes,Pink Plump Lips,Battle Armor,Black Pullback,Silver Circlet,RARE
59,2797,Light Pink,Brown,Grey Dewy Eyes,Stuck Out Tongue,Red Asymmetric Dress,Brown Spacebuns,Silver Circlet,RARE
60,1426,Light Brown,Yellow,Green Angry Eyes,Big Grin,Red Dress,Black Pullback,Silver Circlet,RARE
61,907,Purple Clouds,Brown,Blue Angry Eyes,Pink Thin Lips,Red Dress,Blue Wavy Bob,Silver Circlet,RARE
62,5446,Aftermath,Yellow,Rolled Eyes,Kissy Lips,Blue Brassiere,Red Wavy,Silver Circlet,RARE
63,2079,Light Orange,Peach,Fiery Eyes,Pink Thin Lips,Black Cami,Pink Short Tiedback,Silver Circlet,RARE
64,635,Light Red,Brown,Blue Sleepy Eyes,Kissy Lips,Red Dress,Brown Straight Bob,Silver Circlet,RARE
65,5530,Light Brown,Brown,3D Glasses,Pink Plump Lips,Black Cami,Black Straight,Silver Circlet,RARE
