ranking,vElf #
0,70
1,21
2,7
3,98
4,207
5,777
6,14
7,2933
8,6546
9,3207
10,2963
11,2879
12,6985
13,2923
14,4604
15,7109
16,3327
17,4719
18,4367
19,3305
20,5474
21,7271
22,2347
23,3346
24,1991
25,1084
26,4083
27,5043
28,1810
29,7703
30,5462
31,2845
32,3135
33,194
34,2121
35,4701
36,5964
37,5373
38,4965
39,2572
40,2779
41,2593
42,3219
43,1584
44,286
45,2065
46,7545
47,2373
48,6984
49,2210
50,546
51,6272
52,3375
53,1258
54,10
55,6988
56,1301
57,4003
58,4514
59,2797
60,1426
61,907
62,5446
63,2079
64,635
65,5530
66,6032
67,1683
68,2986
69,2761
70,7163
71,2976
72,5868
73,5767
74,514
75,3072
76,6227
77,6134
78,7713
79,4001
80,6299
81,4629
82,4313
83,1265
84,943
85,5291
86,7316
87,2386
88,6323
89,6238
90,3404
91,3817
92,7389
93,6726
94,5009
95,3883
96,3944
97,5558
98,930
99,5028
100,7225
101,4042
102,1540
103,3213
104,1401
105,3586
106,6889
107,1254
108,1206
109,3036
110,3565
111,1207
112,1390
113,2253
114,1153
115,4559
116,5184
117,1446
118,1157
119,5878
120,6874
121,2047
122,4738
123,4566
124,5996
125,7379
126,369
127,424
128,5269
129,2393
130,1220
131,7087
132,2349
133,2181
134,3664
135,5470
136,3755
137,1607
138,7542
139,6055
140,4391
141,6062
142,7484
143,3701
144,6001
145,6645
146,3814
147,4174
148,1608
149,6435
150,1045
151,170
152,929
153,3168
154,942
155,3994
156,3647
157,1112
158,1074
159,4631
160,730
161,6076
162,7298
163,465
164,1752
165,3461
166,904
167,7564
168,4310
169,2713
170,502
171,2493
172,1988
173,3629
174,7105
175,6149
176,3627
177,6854
178,4990
179,5275
180,6428
181,541
182,33
183,5687
184,5840
185,4172
186,7217
187,4817
188,4654
189,2722
190,6083
191,4349
192,972
193,3859
194,5559
195,1450
196,4976
197,6268
198,6390
199,2116
200,7715
201,3745
202,6916
203,6035
204,3233
205,4445
206,6882
207,6493
208,5352
209,1745
210,1690
211,1268
212,3546
213,521
214,947
215,6945
216,2217
217,4549
218,3879
219,5142
220,5174
221,1519
222,4503
223,3774
224,4053
225,2200
226,3818
227,6689
228,6589
229,402
230,5386
231,4105
232,7450
233,2626
234,1677
235,2197
236,4303
237,4211
238,5026
239,2604
240,4835
241,4321
242,7270
243,294
244,567
245,5169
246,3577
247,1225
248,1703
249,4242
250,4119
251,2919
252,7419
253,6802
254,5980
255,86
256,883
257,2610
258,6402
259,3470
260,3867
261,3172
262,493
263,3002
264,5862
265,965
266,1305
267,898
268,5640
269,2193
270,7376
271,7342
